Actor_ID,Full_Name,TelNumber,Role,Age,DenyScenario,DenyMovieShooting,Scenario_ID
15,James D. Sanders,281-329-8042,Main role,65,false,false,3
13,Edward A. Summers,432-343-7363,Main role,22,false,false,3
12,Ashlee D. Keeling,815-207-4967,Third plane role,57,false,false,3
11,John M. Dickerson,267-491-3803,Secondary role,19,false,false,3
10,Tanya E. West,636-928-3471,Main role,34,false,false,3
9,Roland C. Johnston,410-559-5713,Main role,19,false,false,3
8,Teodoro J. Niles,440-779-1394,Third plane role,50,false,false,3
6,Andrew S. Worthington,973-469-4570,Third plane role,17,false,false,3
5,Tyrone T. Esquivel,407-603-3414,Third plane role,43,false,false,3
4,Paul M. Cole,734-788-3596,Main role,43,false,false,3
3,Gina P. Wilder,831-610-8797,Third plane role,47,false,false,3
2,Joan D. Galvan,812-433-5064,Main role,59,false,false,3
1,Rosalie R. Collins,859-301-1954,Secondary role,41,false,false,3
30,James E. Garcia,404-610-4081,Main role,43,false,false,3
29,John S. Pulliam,716-408-0738,Secondary role,43,false,false,3
27,Herbert N. Diaz,302-822-5464,Main role,33,false,false,3
26,Grace R. Fong,770-830-0435,Main role,60,false,false,3
25,Patricia S. Kelly,713-316-1702,Third plane role,24,false,false,3
24,Eileen A. McCormack,845-802-2003,Secondary role,55,false,false,3
23,Nancy C. Jones,760-819-7643,Third plane role,55,false,false,3
21,Brittany K. Heintz,808-738-1540,Secondary role,27,false,false,3
20,David D. Schmid,808-964-5027,Secondary role,40,false,false,3
19,Virginia T. Roudebush,212-743-1327,Main role,44,false,false,3
18,Leo M. Dorris,203-688-8174,Secondary role,29,false,false,3
17,Vincenzo R. Prichard,765-341-2072,Secondary role,33,false,false,3
16,Harvey B. Hillier,517-425-5646,Main role,43,false,false,3
22,Timothy T. Jones,626-840-5441,Secondary role,69,true,false,1
7,Lamar K. McKenzie,718-479-6312,Secondary role,43,true,false,2
14,Mario W. Andrews,661-852-1261,Third plane role,33,false,true,1
28,Belinda A. Martins,707-467-6781,Secondary role,42,true,true,2
